Fecha,anio,mes,Estado,nombre,Especificacion,precio_promedio,generico,tipo,cantidad_tipo,dosis,cantidad_dosis,unidad_dosis,cvegeo,precio_prom_def,prev_diab,pobreza_laboral
01/08/22,2022,8,N.L.,DIMEFOR,"MED P/DIAB, TABLETAS, 30 DE 850 MG, LAB SIEGFRIED R",304,Metformina,tabletas,30,850 mg,850,mg,19,246.7579418,12.63,1.1303
01/08/22,2022,8,N.L.,GLIMETAL LEX,"MED P/DIAB, TABLETAS, 16 DE 2/850 MG, SILANES",589.99,Metformina,tabletas,16,2/850 mg,2,mg,19,478.8970989,12.63,1.1303
01/08/22,2022,8,N.L.,DABEX XR,"MED P/DIAB, TABLETAS, 30 DE 500 MG C/U, LAB MERCK",290.99,Metformina,tabletas,30,500 mg,500,mg,19,236.1976759,12.63,1.1303
01/08/22,2022,8,N.L.,DABEX XR,"MED P/DIAB, TABLETAS, 30 DE 500 MG C/U, LAB MERCK",286.5,Metformina,tabletas,30,500 mg,500,mg,19,232.5531261,12.63,1.1303
01/08/22,2022,8,N.L.,GLIMETAL,"MED P/DIAB, TABLETAS, 16 DE 4/100 MG, LAB SILANES",964.96,Metformina,tabletas,16,4/100 mg,4,mg,19,783.2616563,12.63,1.1303
01/08/22,2022,8,B.C.,GLUCOPHAGE,"MED P/DIAB, TABLETAS, 30 DE 500 MG, LAB MERCK",299.9,Metformina,tabletas,30,500 mg,500,mg,2,243.4299564,9.97,0.8581
01/08/22,2022,8,B.C.,GLUCOPHAGE,"MED P/DIAB, TABLETAS, 30 DE 750 MG, LAB ROCH",509,Metformina,tabletas,30,750 mg,750,mg,2,413.1572118,9.97,0.8581
01/08/22,2022,8,B.C.,GLUCOP,"METABOLICO , TABLETAS, 60 DE 500 MG, LAB ROCHE",631.58,Metformina,tabletas,60,500 mg,500,mg,2,512.6558582,9.97,0.8581
01/08/22,2022,8,B.C.,DIMEFOR,"MED P/DIAB, TABLETAS, 60 DE 500 MG, LAB",266.7,Metformina,tabletas,60,500 mg,500,mg,2,216.4813917,9.97,0.8581
01/08/22,2022,8,Chih.,DABEX,"MED P/DIAB, TABLETAS, C/60 DE 500 MG, LAB MERCK",479,Metformina,tabletas,60,500 mg,500,mg,8,388.8060991,9.25,1.0597
01/08/22,2022,8,Chih.,GLUCOPHAGE,"MED P/DIAB, TABLETAS, 60 DE 850 MG, LAB ROCHE",781.23,Metformina,tabletas,60,850 mg,850,mg,8,634.1273252,9.25,1.0597
01/08/22,2022,8,Chih.,DABEX XR,"MED P/DIAB, TABLETAS, 30 DE 500 MG, LAB MERCK",275.09,Metformina,tabletas,30,500 mg,500,mg,8,223.2915862,9.25,1.0597
01/08/22,2022,8,Chih.,DIMEFORT,"MED P/DIAB, TABLETAS, 60 DE 500/2.5MG, LAB SIEGFRI",436,Metformina,tabletas,60,500/2.5mg,500,mg,8,353.9028376,9.25,1.0597
01/08/22,2022,8,Chih.,DABEX,"MED P/DIAB, TABLETAS, XR, C/30 DE 750 MG, LAB MERCK",439,Metformina,tabletas,30,750 mg,750,mg,8,356.3379488,9.25,1.0597
01/08/22,2022,8,Gro.,METFORMINA,"MED P/DIAB, TABLETAS, 30 DE 850 MG, LAB ALPHARMA",25,Metformina,tabletas,30,850 mg,850,mg,12,20.2925939,11.13,1.0818
01/08/22,2022,8,Gro.,DABEX,"MED P/DIAB, TABLETAS, 30 DE 850 MG, LAB MERCK",333.5,Metformina,tabletas,30,850 mg,850,mg,12,270.7032026,11.13,1.0818
01/08/22,2022,8,Sin.,DABEX XR,"MED P/DIAB, TABLETAS, 60 DE 750 MG, LAB MERCK",697.5,Metformina,tabletas,60,750 mg,750,mg,25,566.1633697,10.69,1.0792
01/08/22,2022,8,Sin.,PRE-DIAL PLUS,"MED P/DIAB, TABLETAS, DE 30 DE 850 MG, LAB SI",399,Metformina,tabletas,30,850 mg,850,mg,25,323.8697986,10.69,1.0792
01/08/22,2022,8,Sin.,DABEX,"MED P/DIAB, TABLETAS, DE 60 DE 500 MG, LAB MERCK",335.89,Metformina,tabletas,60,500 mg,500,mg,25,272.6431746,10.69,1.0792
01/08/22,2022,8,Sin.,GLIMETAL,"MED P/DIAB, TABLETAS, 16 DE 4/850 MG, LAB SILANES",819.9,Metformina,tabletas,16,4/850 mg,4,mg,25,665.5159095,10.69,1.0792
01/08/22,2022,8,Gto.,METFORMINA,"METABOLICO, TABLETAS, 500 MG, C/60, LAB ALPHA",65,Metformina,tabletas,60,500 mg,500,mg,11,52.76074413,9.89,1.162
01/08/22,2022,8,Gto.,GLUCOVANCE,"MED P/DIAB, TABLETAS, C/60 DE 500 MG, LAB MERCK",635,Metformina,tabletas,60,500 mg,500,mg,11,515.431885,9.89,1.162
01/08/22,2022,8,Gto.,GLUCOPHAGE XR,"MED P/DIAB, GRAGEAS, 30 DE 750 MG, LAB MERCK",482.18,Metformina,grageas,30,750 mg,750,mg,11,391.387317,9.89,1.162
01/08/22,2022,8,Gto.,DABEX,"MED P/DIAB, TABLETAS, 30 DE 850 MG, LAB MERCK",316.51,Metformina,tabletas,30,850 mg,850,mg,11,256.9123558,9.89,1.162
01/08/22,2022,8,Pue.,METFORMINA,"MED P/DIAB, TABLETAS, 30 DE 850 MG, LAB FARMACIA",71,Metformina,tabletas,30,850 mg,850,mg,21,57.63096667,8.99,1.1463
01/08/22,2022,8,Pue.,DIMEFOR,"MED P/DIAB, TABLETAS, 30 DE 500 MG, LAB SIEGFRIED R",201,Metformina,tabletas,30,500 mg,500,mg,21,163.1524549,8.99,1.1463
01/08/22,2022,8,Pue.,GLUCOPHAGE,"MED P/DIAB, TABLETAS, 60 DE 500 MG, LAB MERCK",468,Metformina,tabletas,60,500 mg,500,mg,21,379.8773578,8.99,1.1463
01/08/22,2022,8,Pue.,PREDIAL PLUS,"MED P/DIAB, TABLETAS, 30 DE 850MG, LAB SILANES",444,Metformina,tabletas,30,850mg,850,mg,21,360.3964676,8.99,1.1463
01/08/22,2022,8,Pue.,GLIMETAL,"TABLETAS 16, DE 1000/2 MG, LAB SILANES",633.44,Metformina,tabletas,16,1000/2 mg,1000,mg,21,514.1656271,8.99,1.1463
01/08/22,2022,8,S.L.P.,METFORMINA,"MED P/DIAB, GRAGEAS, C/60, DE 500 MG",78,Metformina,grageas,60,500 mg,500,mg,24,63.31289296,10.85,0.9308
01/08/22,2022,8,S.L.P.,GLUCOVANCE,"MED P/DIAB, TABLETAS, C/60, DE 500/2.5 MG, LAB M",533.75,Metformina,tabletas,60,500/2.5 mg,500,mg,24,433.2468797,10.85,0.9308
01/08/22,2022,8,S.L.P.,DABEX,"METABOLICO, TABLETAS, C/30 DE 850 MG, ME",291.42,Metformina,tabletas,30,850 mg,850,mg,24,236.5467085,10.85,0.9308
01/08/22,2022,8,S.L.P.,METFORMINA,"MED P/DIAB, TABLETAS, 30 DE 850 MG, PHARMA LIFE",21.5,Metformina,tabletas,30,850 mg,850,mg,24,17.45163075,10.85,0.9308
01/08/22,2022,8,Chis.,METFORMINA GI,"MED P/DIAB, CAPSULAS, 30 DE 850 MG, LAB PISA",63.26,Metformina,capsulas,30,850 mg,850,mg,7,51.3483796,7.79,0.9614
01/08/22,2022,8,Chis.,GLUCOPHAGE,"METABOLICO, CAPSULAS, 60 DE 850 MG, LAB EL",927.5,Metformina,tabletas,60,850 mg,850,mg,7,752.8552336,7.79,0.9614
01/08/22,2022,8,Edo. de MÃ©x.,DABEX,"METABOLICO, GRAGEAS, TABLETAS, 30 DE 850MG, LAB MERCK",309,Metformina,tabletas,30,850mg,850,mg,15,250.8164606,8.96,1.0297
01/08/22,2022,8,Edo. de MÃ©x.,XIGDUO XR,"MED P/DIAB, TABLETAS, 10/1000MG, C/28 TABL,LAB AS",1231.59,Metformina,tabletas,28,10/1000mg,10,mg,15,999.6862287,8.96,1.0297
01/08/22,2022,8,Coah.,DINAMEL,"METABOLICO, TABLETAS, 30 DE 500 MG, LAB LIFERPAL",52.9,Metformina,tabletas,30,500 mg,500,mg,5,42.93912869,12.34,1.0761
01/08/22,2022,8,Ver.,DABEX-XR,"METABOLICO, GRAGEAS, 30 DE 750 MG, LAB MERCK",426,Metformina,tabletas,30,750 mg,750,mg,30,345.7858,11.92,1.0458
01/08/22,2022,8,Ver.,DABEX XR,"TABLETAS, 30 DE 1000 MG, LAB MERCK",456,Metformina,tabletas,30,1000 mg,1000,mg,30,370.1369127,11.92,1.0458
01/08/22,2022,8,Tab.,DABEX XR,"MED P/DIAB, TABLETAS, 30 DE 750 MG, LAB MERCK",445,Metformina,tabletas,30,750 mg,750,mg,27,361.2081714,12.15,1.0631
01/08/22,2022,8,Tab.,DIMEFOR XR,"MED P/DIAB, TABLETAS, 30 DE 500 MG, LAB SIEGFRIE",200.25,Metformina,tabletas,30,500 mg,500,mg,27,162.5436771,12.15,1.0631
01/08/22,2022,8,Tab.,METFORMINA GLIBENCLAMIDA,"MED P/DIAB, TABLETAS, 60 DE 500MG/",55,Metformina,tabletas,60,500mg,500,mg,27,44.64370658,12.15,1.0631
01/08/22,2022,8,Tab.,DABEX XR,"MED P/DIAB, COMPRIMIDOS, 30 DE 500 MG, LAB MERCK",250.17,Metformina,comprimidos,30,500 mg,500,mg,27,203.0639286,12.15,1.0631
01/08/22,2022,8,Tab.,PREDIAL,"MED P/DIAB, TABLETAS, 40 DE 500, LAB SILANES",288,Metformina,tabletas,40,500 mg,500,mg,27,233.7706817,12.15,1.0631
01/08/22,2022,8,Tamps.,DIMEFOR,"METABOLICO, TABLETAS, CAJA DE 30, DE 850 MG, LAB SI",292,Metformina,tabletas,30,850 mg,850,mg,28,237.0174967,12.77,1.0111
01/08/22,2022,8,Tamps.,DABEX XR,"MED P/DIAB, TABLETAS, CAJA DE 60, DE 500 MG, LAB M",395,Metformina,tabletas,60,500 mg,500,mg,28,320.6229836,12.77,1.0111
01/08/22,2022,8,Tamps.,FICONAX,"MED P/DIAB, TABLETAS, FCO DE 30, DE 1 GR, LAB PISA",175,Metformina,tabletas,30,1 gr,1,gr,28,142.0481573,12.77,1.0111
01/08/22,2022,8,Tamps.,INSOGEN PLUS,"MED P/DIAB, TABLETAS, 80/125 MG, LAB ITALMEX",622,Metformina,tabletas,NA,80/125 mg,80,mg,28,504.8797362,12.77,1.0111
01/08/22,2022,8,Chih.,METFORMINA,"MED P/DIAB, TABLETAS, C/60 DE 500 MG, LAB PHARMA",57.01,Metformina,tabletas,60,500 mg,500,mg,8,46.27523112,9.25,1.0597
01/08/22,2022,8,Chih.,DABEX,"MED/DIAB, TABLETAS, C/60 DE 500 MG, LAB MERCK",393,Metformina,tabletas,60,500 mg,500,mg,8,318.9995761,9.25,1.0597
01/08/22,2022,8,Son.,GLUCOPHAGE,"MED P/DIAB, TABLETAS, 60 DE 500 MG, LAB MERCK",452.5,Metformina,tabletas,60,500 mg,500,mg,26,367.2959495,11.23,1.0637
01/08/22,2022,8,Son.,METFORMINA GI,"MED P/DIAB, TABLETAS, 30 DE 850 MG, LAB ALPHA",38.14,Metformina,tabletas,30,850 mg,850,mg,26,30.95838125,11.23,1.0637
01/08/22,2022,8,Son.,GLUCOVANCE,"MED P/DIAB, TABLETAS, 60 DE 500/5MG, LAB MERCK",475.5,Metformina,tabletas,60,500/5mg,500,mg,26,385.9651359,11.23,1.0637
01/08/22,2022,8,Son.,GLUCOPHAGE,"MED P/DIAB, TABLETAS, 60 DE 850 MG, LAB MERCK",805.39,Metformina,tabletas,60,850 mg,850,mg,26,653.738088,11.23,1.0637
01/08/22,2022,8,Coah.,GLUCOVANCE,"METABOLICO , TABLETAS, TABLETAS,DE 60, DE 500MG",599,Metformina,tabletas,60,500mg,500,mg,5,486.2105498,12.34,1.0761
01/08/22,2022,8,Coah.,GLUCOVANCE,"TABLETAS, DE 60, DE 500 MG / 2.5 MG, LAB MERCK",599.9,Metformina,tabletas,60,500 mg,500,mg,5,486.9410832,12.34,1.0761
01/08/22,2022,8,Ver.,METFORMINA,"MED P/DIAB, COMPRIMIDOS, 60 DE 850 MG, LAB SIEGF",545,Metformina,comprimidos,60,850 mg,850,mg,30,442.378547,11.92,1.0458
01/08/22,2022,8,Ver.,GLUCOPHAGE,"MED P/DIAB, TABLETAS, 60 DE 500 MG, LAB ROCHE",497,Metformina,tabletas,60,500 mg,500,mg,30,403.4167667,11.92,1.0458
01/08/22,2022,8,Ags.,DIMEFOR,"MED P/DIAB, TABLETAS, CAJA C/30 DE 500 MG, LAB SIEG",244.01,Metformina,tabletas,30,500 mg,500,mg,1,198.0638335,7.56,1.182
01/08/22,2022,8,Ags.,METFORMINA,"TABLETAS, CAJA C/30 DE 850 MG",18.5,Metformina,tabletas,30,850 mg,850,mg,1,15.01651948,7.56,1.182
01/08/22,2022,8,B.C.,DABEX,"MED P/DIAB, TABLETAS, 60 DE 500/5MG, LAB MERCK",531.48,Metformina,tabletas,60,500/5mg,500,mg,2,431.4043122,9.97,0.8581
01/08/22,2022,8,B.C.,DABEX,"METABOLICO, TABLETAS, 30 DE 850 MG, LAB MERK",316.51,Metformina,tabletas,30,850 mg,850,mg,2,256.9123558,9.97,0.8581
01/08/22,2022,8,B.C.,GLUCOVANCE,"METABOLICO, TABLETAS, 60 DE 500/5 MG, LAB MERCK",642,Metformina,tabletas,60,500/5 mg,500,mg,2,521.1138113,9.97,0.8581
01/08/22,2022,8,B.C.,FICONAX,"METABOLICO, TABLETAS, DE 30 DE 850 GR, LAB PISA",180,Metformina,tabletas,30,850 gr,850,gr,2,146.1066761,9.97,0.8581
01/08/22,2022,8,Tamps.,GLIMETAL LEX,"METABOLICO, TABLETAS, CON 16, DE 2 MG/ 850 MG,",616.49,Metformina,tabletas,16,2 mg/ 850,2,mg,28,500.4072485,12.77,1.0111
01/08/22,2022,8,Tamps.,DABEX,"METABOLICO, TABLETAS, CAJA DE 60, DE 500 GR, LAB MERC",360.93,Metformina,tabletas,60,500 gr,500,gr,28,292.9682366,12.77,1.0111
01/08/22,2022,8,Col.,GLUCOPHAGE,"MED P/DIAB, TABLETAS, C/30 DE 750 MG, LAB ROCHE",517,Metformina,tabletas,30,750 mg,750,mg,6,419.6508418,10.83,0.9412
01/08/22,2022,8,Col.,METFORMINA,"MED P/DIAB, TABLETAS, 30 DE 850 MG, LAB AMSA",35,Metformina,tabletas,30,850 mg,850,mg,6,28.40963146,10.83,0.9412
01/08/22,2022,8,Col.,GLUCOVANCE,"MED P/DIAB, TABLETAS, 60 DE 500 MG/2.5, LAB MERC",560,Metformina,tabletas,60,500 mg/2.5,500,mg,6,454.5541033,10.83,0.9412
01/08/22,2022,8,B.C.S.,GLUCOPHAGE XR,"MED P/DIAB, TABLETAS, 30 DE 500 MG, LAB MERCK",451.62,Metformina,tabletas,30,500 mg,500,mg,3,366.5816502,8.37,1.0436
01/08/22,2022,8,B.C.S.,DIMEFOR XR,"MED P/DIAB, TABLETAS, 30 DE 500 MG, LAB SIEGFRIE",161.96,Metformina,tabletas,30,500 mg,500,mg,3,131.4635403,8.37,1.0436
01/08/22,2022,8,B.C.S.,GLIMETAL,"MED P/DIAB, TABLETAS, LEX, 16 DE 850 MG, LAB SILAN",879,Metformina,tabletas,16,850 mg,850,mg,3,713.4876014,8.37,1.0436
01/08/22,2022,8,B.C.S.,DABEX,"CAPSULAS, 30 DE 850 MG, LAB MERCK",301,Metformina,capsulas,30,850 mg,850,mg,3,244.3228305,8.37,1.0436
01/08/22,2022,8,B.C.S.,DABEX XR,"TABLETAS, 30 DE 750 MG, LAB MERCK SERONO",401,Metformina,tabletas,30,750 mg,750,mg,3,325.4932061,8.37,1.0436
01/08/22,2022,8,Q. Roo.,GLIMETAL,"MED P/DIAB, TABLETAS, 16 DE 4/1000 MG,LAB SILANES",858,Metformina,tabletas,16,4/1000 mg,4,mg,23,696.4418226,7.41,1.1059
01/08/22,2022,8,Q. Roo.,DABEX XR,"MED P/DIAB, TABLETAS, 30 DE 500 MG, LAB MERCK",292.5,Metformina,tabletas,30,500 mg,500,mg,23,237.4233486,7.41,1.1059
01/08/22,2022,8,Q. Roo.,DINAMEL,"MED P/DIAB, TABLETAS, 30 DE 500 MG, LAB LIFERP",40.02,Metformina,tabletas,30,500 mg,500,mg,23,32.48438431,7.41,1.1059
01/08/22,2022,8,Mich.,GLIMETAL,"MEDICAMENTO PARA DIABETES, TABLETAS, C/16, 4/1000",789,Metformina,tabletas,16,4/1000 mg,4,mg,16,640.4342634,9.93,1.1105
01/08/22,2022,8,Mich.,METFORMINA,"MEDICAMENTO PARA DIABETES, TABLETAS, C/30 DE MG,",25,Metformina,tabletas,30,850 mg,850,mg,16,20.2925939,9.93,1.1105
01/08/22,2022,8,Mich.,DABEX,"MEDICAMENTO PARA DIABETES, TABLETAS, CAJA CON 30 TABL",285,Metformina,tabletas,30,850 mg,850,mg,16,231.3355704,9.93,1.1105
01/08/22,2022,8,Zac.,DABEX,"MED P/DIAB, TABLETAS, 30 DE 850 MG, LAB MERCK",343,Metformina,tabletas,30,850 mg,850,mg,32,278.4143883,10.88,1.0352
01/08/22,2022,8,Zac.,GLUCOVANCE,"MED P/DIAB, TABLETAS, 60 DE 5/500 MG, LAB MERCK",662,Metformina,tabletas,60,5/500 mg,5,mg,32,537.3478864,10.88,1.0352
01/08/22,2022,8,Zac.,GLUCOVANCE,"MED P/DIAB, TABLETAS, 60 DE 500/5 MG, LAB MERCK",637.49,Metformina,tabletas,60,500/5 mg,500,mg,32,517.4530274,10.88,1.0352
01/08/22,2022,8,Gro.,MEVICFOR GI,"MED P/DIAB, TABLETAS, 100 DE 500 MG, LAB VICTOR",110,Metformina,tabletas,100,500 mg,500,mg,12,89.28741315,11.13,1.0818
01/08/22,2022,8,Gro.,METFORMINA,"MED P/DIAB, CAPSULAS, CAJA DE 60 DE 5/500 GR, LA",141,Metformina,capsulas,60,500 gr,500,gr,12,114.4502296,11.13,1.0818
01/08/22,2022,8,Son.,GLUCOVANCE,"MED P/DIAB, TABLETAS, 60 DE 500/2.5 MG, LAB MERC",551.69,Metformina,tabletas,60,500/2.5 mg,500,mg,26,447.8088451,11.23,1.0637
01/08/22,2022,8,Son.,DABEX,"MED P/DIAB, TABLETAS, 60 DE 500 MG, LAB MERCK",338,Metformina,tabletas,60,500 mg,500,mg,26,274.3558695,11.23,1.0637
01/08/22,2022,8,Hgo.,GLINORBORAL,"MED P/DIAB, TABLETAS, 40 DE 5/50 MG, LAB SILANE",696,Metformina,tabletas,40,5/50 mg,5,mg,13,564.9458141,12.83,1.1107
01/08/22,2022,8,Hgo.,GLUCOVANCE,"MED P/DIAB, TABLETAS, 60 DE 500/5 MG, LAB MERK",635.3,Metformina,tabletas,60,500/5 mg,500,mg,13,515.6753961,12.83,1.1107
01/08/22,2022,8,Hgo.,DABEX XR,"MED P/DIAB, TABLETAS, 60 DE 750 MG, LAB MERK",390,Metformina,tabletas,60,750 mg,750,mg,13,316.5644648,12.83,1.1107
01/08/22,2022,8,Hgo.,GLUCOVANCE,"MED P/DIAB, TABLETAS, 60 DE 500/5 MG, LAB MERCK",588,Metformina,tabletas,60,500/5 mg,500,mg,13,477.2818085,12.83,1.1107
01/08/22,2022,8,Chih.,MAVIGLIN,"METABOLICO, GRAGEAS, 60 DE 500/5MG, LAB MAVI",129.68,Metformina,tabletas,60,500/5mg,500,mg,8,105.2617431,9.25,1.0597
01/08/22,2022,8,Chih.,GLIMETAL,"MED P/DIAB, TABLETAS, C/16 DE 4/1000 MG, LAB SILAN",786.46,Metformina,tabletas,16,4/1000 mg,4,mg,8,638.3725359,9.25,1.0597
01/08/22,2022,8,Dgo.,GLUCOVANCE,"TABLETAS, C/60 DE 500/2.05 MG, LAB MERCK",582.76,Metformina,tabletas,60,500/2.05 mg,500,mg,10,473.0284808,10.9,1.0728
01/08/22,2022,8,Dgo.,GLUCOVANCE,"TABLETAS, C/60 DE 500/5 MG, LAB MERCK",559.88,Metformina,tabletas,60,500/5 mg,500,mg,10,454.4566989,10.9,1.0728
01/08/22,2022,8,Dgo.,GLIMETAL LEX,"METABOLICO, TABLETAS, 30 DE 2/850 MG, LAB SILA",863.98,Metformina,tabletas,30,2/850 mg,2,mg,10,701.295811,10.9,1.0728
01/08/22,2022,8,Dgo.,GLUCOVANCE,"TABLETAS, 60 DE 500/5 MG, LAB MERCK",634.61,Metformina,tabletas,60,500/5 mg,500,mg,10,515.1153205,10.9,1.0728
01/08/22,2022,8,Dgo.,GLUCOVANCE,"MED P/DIAB, TABLETAS, 60 DE 500/5 MG, LAB MERCK",609.08,Metformina,tabletas,60,500/5 mg,500,mg,10,494.3925237,10.9,1.0728
01/08/22,2022,8,Dgo.,METFORMINA,"METABOLICO, TABLETAS, 30 DE 850 MG, LAB AMSA",29,Metformina,tabletas,30,850 mg,850,mg,10,23.53940892,10.9,1.0728
01/08/22,2022,8,Nay.,AKSPRI,"MED P/DIAB, TABLETAS, 30 PZAS, 1000 MG, LAB NOVARTIS",403.31,Metformina,tabletas,30,1000 mg,1000,mg,18,327.3682418,9.55,0.8474
01/08/22,2022,8,Nay.,GLIMETAL,"MED P/DIAB, TABLETAS, 16 PZAS, DE 2/850 MG, LAB SI",590.74,Metformina,tabletas,16,2/850 mg,2,mg,18,479.5058768,9.55,0.8474
01/08/22,2022,8,Nay.,DUO-AGLUCID,"MED P/DIAB, GRAGEAS, 30 PZAS, DE 500 MG/5 MG, L",75,Metformina,grageas,30,500 mg,500,mg,18,60.87778169,9.55,0.8474
01/08/22,2022,8,Oax.,GLUCOVANCE,"MED P/DIAB, TABLETAS, 60 DE 500/25 MG, LAB MERCK",598.44,Metformina,tabletas,60,500/25 mg,500,mg,20,485.7559957,10.51,1.0285
01/08/22,2022,8,Qro.,PREDIAL,"METABOLICO, TABLETAS, C/60 DE 500 MG, LAB SILANES",301,Metformina,tabletas,60,500 mg,500,mg,22,244.3228305,7.51,1.0647
01/08/22,2022,8,Qro.,IFOR,"MED P/DIAB, 30 TABLETAS DE 500 MG, LAB MEDIX",96.69,Metformina,tabletas,30,500 mg,500,mg,22,78.48363616,7.51,1.0647
01/08/22,2022,8,Mor.,PREDIAL,"MED P/DIAB, TABLETAS, 40 DE 1000 MG, LAB SILANES",569.28,Metformina,tabletas,40,1000 mg,1000,mg,17,462.0867142,11.99,1.0916
01/08/22,2022,8,Mor.,ANGLUCID,"MED P/DIAB, TABLETAS, 50 DE 850 MG, LAB COLLINS",95,Metformina,tabletas,50,850 mg,850,mg,17,77.11185681,11.99,1.0916
01/08/22,2022,8,Tlax.,DIMEFOR,"MED P/DIAB, TABLETAS, 60 DE 500 MG/5 MG, LAB SIEGFR",499,Metformina,tabletas,60,500 mg,500,mg,29,405.0401742,9.29,1.0337
01/08/22,2022,8,Tlax.,FICONAX,"MED P/DIAB, TABLETAS, 30 DE 1 G, LAB MERCK",231.16,Metformina,tabletas,30,1 gr,1,gr,29,187.6334402,9.29,1.0337
01/08/22,2022,8,Tlax.,DIMEFOR,"MED P/DIAB, TABLETAS, 60 DE 500 MG/5 MG, LAB SIEGFR",221,Metformina,tabletas,60,500 mg,500,mg,29,179.3865301,9.29,1.0337
01/08/22,2022,8,Tlax.,COMPETACT,"MED P/DIAB, TABLETAS, 28 DE 15/850 MG, LAB LILLY",1724.73,Metformina,tabletas,28,15/850 mg,15,mg,29,1399.969819,9.29,1.0337
01/08/22,2022,8,Tlax.,METFORMINA,"MED P/DIAB, TABLETAS, 30 DE 850 MG, LAB PHARMALI",20.5,Metformina,tabletas,30,850 mg,850,mg,29,16.639927,9.29,1.0337
01/08/22,2022,8,Ver.,GLUCOVANCE,"MED P/DIAB, TABLETAS, 60 DE 500/2.5 MG, LAB MERC",587.5,Metformina,tabletas,60,500/2.5 mg,500,mg,30,476.8759566,11.92,1.0458
01/08/22,2022,8,Ver.,METFORMINA,"MED P/DIAB, TABLETAS, 30 DE 850 MG, LAB PHARMALI",20.5,Metformina,tabletas,30,850 mg,850,mg,30,16.639927,11.92,1.0458
01/08/22,2022,8,Camp.,DABEX,"MED P/DIAB, TABLETAS, 30 DE 850 MG, LAB MERCK",327,Metformina,tabletas,30,850 mg,850,mg,4,265.4271282,14.01,0.9094
01/08/22,2022,8,Camp.,GLUCOPHAGE,"MED P/DIAB, TABLETAS, 60 DE 500 MG, LAB ROCHE",478,Metformina,tabletas,60,500 mg,500,mg,4,387.9943953,14.01,0.9094
01/08/22,2022,8,Camp.,GLUCOVANCE,"MED P/DIAB, TABLETAS, 60 DE 500, LAB MERCK",631.5,Metformina,tabletas,60,500 mg,500,NA,4,512.5909219,14.01,0.9094
01/08/22,2022,8,Camp.,DABEX,"MED P/DIAB, TABLETAS, XR, 60 DE 500 MG, LAB MERCK",505,Metformina,tabletas,60,500 mg,500,mg,4,409.9103967,14.01,0.9094
01/08/22,2022,8,Camp.,DIMEFOR,"MED P/DIAB, TABLETAS, 30 DE 500 MG, LAB SIEGFRIED",204,Metformina,tabletas,30,500 mg,500,mg,4,165.5875662,14.01,0.9094
01/08/22,2022,8,Jal.,GLUCOVANCE,"TABLETAS, C/60 DE 500/5 MG, LAB MERCK",634.61,Metformina,tabletas,60,500/5 mg,500,mg,14,515.1153205,7.59,1.0385
01/08/22,2022,8,Jal.,DIMEFOR,"METABOLICO , TABLETAS, XR,C/30, 750 MG, LAB SIEGRI",317,Metformina,tabletas,30,750 mg,750,mg,14,257.3100906,7.59,1.0385
